lsoa_code,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score,crime_count,population,crime_rate,log_crime_rate,latitude,longitude
E01024457,17.039,0.1,0.086,9.437,-0.626,31.315,19.149,1,1274.0,0.78,0.5766133643039938,51.29633,0.217306
E01024458,11.707,0.023,0.032,1.397,-1.918,41.249,25.752,1,1419.0,0.7,0.5306282510621704,51.273388,0.225836
E01024459,12.03,0.045,0.03,1.837,-1.882,37.864,46.239,1,1642.0,0.61,0.4762341789963716,51.24275,0.242209
E01024460,15.935,0.124,0.093,13.935,-0.595,14.987,12.436,2,1740.0,1.15,0.7654678421395714,51.286640000000006,0.2044335
E01024461,4.373,0.045,0.038,0.818,-1.438,12.852,10.277,1,2521.0,0.4,0.33647223662121295,51.278132,0.197792
E01024462,8.078,0.06,0.055,1.477,-1.812,32.396,5.253,1,1674.0,0.6,0.4700036292457356,51.253899,0.198252
E01024463,2.852,0.011,0.016,0.825,-2.167,23.885,5.101,5,1591.0,3.14,1.420695787837223,51.278728799999996,0.1782128
E01024465,13.758,0.079,0.061,19.966,-0.453,16.919,20.76,2,1450.0,1.38,0.8671004876833833,51.29606,0.191057
E01024466,16.271,0.1,0.078,17.233,-0.613,17.891,10.966,2,1378.0,1.45,0.8960880245566356,51.2918825,0.197054
E01024468,5.734,0.045,0.033,1.164,-1.36,7.967,19.743,2,1590.0,1.26,0.8153648132841945,51.286722,0.192649
E01024469,3.287,0.034,0.029,0.856,-1.046,12.057,15.457,3,1838.0,1.63,0.9669838461896731,51.273842333333334,0.188236
E01024470,2.55,0.034,0.031,0.226,-1.391,12.947,5.285,1,1647.0,0.61,0.4762341789963716,51.277664,0.183098
E01024471,5.007,0.063,0.032,2.007,-1.29,15.043,13.046,3,2076.0,1.45,0.8960880245566356,51.27181733333333,0.19233066666666668
E01024472,17.467,0.104,0.069,23.408,-0.799,23.472,23.994,6,1479.0,4.06,1.6213664832993742,51.39552883333334,0.18395883333333332
E01024473,11.005,0.087,0.057,17.478,-0.569,12.387,15.135,2,1654.0,1.21,0.7929925155296614,51.389506499999996,0.1900745
E01024475,10.629,0.084,0.06,16.475,-0.855,14.368,12.664,5,1628.0,3.07,1.4036429994545037,51.394012,0.1749018
E01024476,39.361,0.26,0.2,44.021,0.31,23.042,6.075,13,1769.0,7.35,2.122261538862764,51.39462269230769,0.1654923846153846
E01024477,35.752,0.231,0.172,42.435,0.011,22.091,16.706,10,1573.0,6.36,1.9960599327407849,51.3986223,0.1671097
E01024478,17.054,0.106,0.07,22.528,-0.913,21.125,12.507,7,1559.0,4.49,1.7029282555214393,51.40139814285715,0.16071300000000002
E01024479,12.44,0.056,0.058,13.141,-0.608,22.435,11.666,3,1559.0,1.92,1.0715836162801904,51.402824333333335,0.1784663333333333
E01024480,32.848,0.237,0.159,42.612,0.276,16.778,12.648,15,1823.0,8.23,2.222459048514761,51.39847233333333,0.17499440000000002
E01024481,26.088,0.159,0.116,37.897,-0.011,26.319,11.078,7,1666.0,4.2,1.6486586255873816,51.40509242857143,0.163565
E01024482,28.239,0.202,0.127,39.708,0.127,21.734,12.825,1,1559.0,0.64,0.49469624183610705,51.404139,0.173214
E01024483,7.165,0.05,0.032,5.044,-1.075,16.812,24.41,7,1545.0,4.53,1.7101878155342434,51.28021642857143,0.061159571428571424
E01024485,19.802,0.135,0.102,24.631,-0.633,18.274,15.746,1,1700.0,0.59,0.4637340162321401,51.272876,0.076589
E01024486,29.143,0.165,0.162,45.787,0.759,17.59,7.738,2,1898.0,1.05,0.7178397931503169,51.0241905,0.9907455000000001
E01024489,23.334,0.086,0.107,34.361,0.089,40.809,5.916,1,1612.0,0.62,0.4824261492442927,51.041429,1.020805
E01024494,22.463,0.175,0.13,28.329,-0.265,19.971,12.803,1,1941.0,0.52,0.41871033485818504,51.089814,1.127365
E01024497,28.182,0.18,0.138,41.243,0.343,19.2,11.928,1,1593.0,0.63,0.48858001481867097,51.091614,1.186905
E01024499,30.794,0.196,0.158,40.934,0.32,13.021,28.573,1,1640.0,0.61,0.4762341789963716,51.088898,1.184562
E01024507,52.742,0.339,0.235,41.526,1.019,22.092,35.925,1,1891.0,0.53,0.4252677354043441,51.081722,1.175572
E01024508,28.443,0.188,0.154,21.727,0.64,18.025,24.754,1,2024.0,0.49,0.3987761199573678,51.07857,1.168182
E01024515,13.701,0.065,0.083,9.95,-0.162,15.378,8.572,1,1836.0,0.54,0.43178241642553783,51.089799,1.165985
E01024517,36.537,0.207,0.193,19.645,1.021,22.922,33.464,1,1608.0,0.62,0.4824261492442927,51.084098,1.174521
E01024518,15.307,0.102,0.084,13.503,0.072,16.349,12.244,1,1611.0,0.62,0.4824261492442927,51.094257,1.174717
