lsoa_code,dominant_crime,latitude,longitude
E01000277,Violence and sexual offences,51.618052,-0.183123
E01000278,Violence and sexual offences,51.6142835,-0.193724
E01000279,Violence and sexual offences,51.633759,-0.19662600000000002
E01000280,Violence and sexual offences,51.630924,-0.184833
E01000281,Violence and sexual offences,51.631497,-0.175698
E01000282,Violence and sexual offences,51.630738,-0.178224
E01000283,Violence and sexual offences,51.625992,-0.18902049999999998
E01000284,Violence and sexual offences,51.624947,-0.176243
E01000285,Violence and sexual offences,51.645098,-0.210431
E01000286,Violence and sexual offences,51.647733,-0.217811
E01000287,Violence and sexual offences,51.6440275,-0.214007
E01000288,Violence and sexual offences,51.642765,-0.188739
E01000289,Violence and sexual offences,51.6443475,-0.196521
E01000290,Violence and sexual offences,51.642166,-0.224556
E01000291,Violence and sexual offences,51.644002,-0.201336
E01000292,Violence and sexual offences,51.6497685,-0.203299
E01000293,Violence and sexual offences,51.648274,-0.19866250000000002
E01000294,Violence and sexual offences,51.650727,-0.214148
E01000295,Violence and sexual offences,51.601101,-0.189175
E01000296,Violence and sexual offences,51.603197,-0.192104
E01000297,Violence and sexual offences,51.599276,-0.181167
E01000298,Violence and sexual offences,51.604867,-0.184283
E01000299,Violence and sexual offences,51.61559,-0.176887
E01000300,Violence and sexual offences,51.614806,-0.182048
E01000301,Violence and sexual offences,51.611656,-0.188485
E01000302,Violence and sexual offences,51.61107,-0.183163
E01000303,Violence and sexual offences,51.608286,-0.193658
E01000304,Violence and sexual offences,51.605657,-0.198632
E01000305,Violence and sexual offences,51.576171,-0.238919
E01000306,Violence and sexual offences,51.579986,-0.235584
E01000307,Violence and sexual offences,51.576417,-0.223789
E01000308,Violence and sexual offences,51.577797,-0.242644
E01000309,Violence and sexual offences,51.585515,-0.235465
E01000310,Violence and sexual offences,51.578791,-0.225626
E01000311,Violence and sexual offences,51.581248,-0.215996
E01000312,Violence and sexual offences,51.582277,-0.250578
E01000313,Violence and sexual offences,51.579335,-0.240039
E01000314,Violence and sexual offences,51.583369,-0.229251
E01000315,Violence and sexual offences,51.608428,-0.165837
E01000316,Violence and sexual offences,51.603664,-0.174791
E01000317,Violence and sexual offences,51.60857,-0.180683
E01000318,Violence and sexual offences,51.609823500000005,-0.171671
E01000319,Violence and sexual offences,51.603449,-0.179343
E01000320,Violence and sexual offences,51.6198995,-0.172809
E01000321,Violence and sexual offences,51.62141,-0.178057
E01000322,Violence and sexual offences,51.617906,-0.172497
E01000323,Violence and sexual offences,51.613875,-0.175163
